date,value
1/22/2020,557
1/23/2020,655
1/24/2020,941
1/25/2020,1434
1/26/2020,2118
1/27/2020,2927
1/28/2020,5578
1/29/2020,6167
1/30/2020,8235
1/31/2020,9927
2/1/2020,12038
2/2/2020,16787
2/3/2020,19887
2/4/2020,23898
2/5/2020,27643
2/6/2020,30805
2/7/2020,34399
2/8/2020,37130
2/9/2020,40161
2/10/2020,42769
2/11/2020,44812
2/12/2020,45230
2/13/2020,60382
2/14/2020,66910
2/15/2020,69053
2/16/2020,71236
2/17/2020,73271
2/18/2020,75153
2/19/2020,75653
2/20/2020,76213
2/21/2020,76842
2/22/2020,78603
2/23/2020,78984
2/24/2020,79552
2/25/2020,80406
2/26/2020,81383
2/27/2020,82742
2/28/2020,84131
2/29/2020,86027
3/1/2020,88403
3/2/2020,90383
3/3/2020,92984
3/4/2020,95290
3/5/2020,98108
3/6/2020,102022
3/7/2020,106126
3/8/2020,110063
3/9/2020,114246
3/10/2020,119076
3/11/2020,126770
3/12/2020,132645
3/13/2020,146960
3/14/2020,158016
3/15/2020,169305
3/16/2020,184118
3/17/2020,200131
3/18/2020,219710
3/19/2020,246834
3/20/2020,277759
3/21/2020,309891
3/22/2020,345004
3/23/2020,387677
3/24/2020,428761
3/25/2020,479861
3/26/2020,542722
3/27/2020,607682
3/28/2020,677321
3/29/2020,734228
3/30/2020,799449
3/31/2020,876334
4/1/2020,958576
4/2/2020,1041426
4/3/2020,1125527
4/4/2020,1184112
4/5/2020,1254556
4/6/2020,1328504
4/7/2020,1397697
4/8/2020,1481023
4/9/2020,1567530
4/10/2020,1652912
4/11/2020,1726922
4/12/2020,1846038
4/13/2020,1917137
4/14/2020,2000959
4/15/2020,2078948
4/16/2020,2173166
4/17/2020,2260946
4/18/2020,2337622
4/19/2020,2414138
4/20/2020,2490012
4/21/2020,2565621
4/22/2020,2646930
4/23/2020,2730304
4/24/2020,2814187
4/25/2020,2897251
4/26/2020,2968140
4/27/2020,3039198
4/28/2020,3114828
4/29/2020,3192044
4/30/2020,3275297
5/1/2020,3364112
5/2/2020,3443246
5/3/2020,3517700
5/4/2020,3594890
5/5/2020,3674661
5/6/2020,3765213
5/7/2020,3853862
5/8/2020,3944600
5/9/2020,4028822
5/10/2020,4104025
5/11/2020,4180369
5/12/2020,4265288
5/13/2020,4349615
5/14/2020,4444916
5/15/2020,4541042
5/16/2020,4635216
5/17/2020,4713194
5/18/2020,4802352
5/19/2020,4898923
5/20/2020,5003881
5/21/2020,5109771
5/22/2020,5217337
5/23/2020,5321390
5/24/2020,5414586
5/25/2020,5502564
5/26/2020,5595459
5/27/2020,5698044
5/28/2020,5817870
5/29/2020,5939413
5/30/2020,6074348
5/31/2020,6176663
6/1/2020,6276149
6/2/2020,6400572
6/3/2020,6511720
6/4/2020,6649957
6/5/2020,6783578
6/6/2020,6913409
6/7/2020,7024555
6/8/2020,7127808
6/9/2020,7254095
6/10/2020,7390859
6/11/2020,7526071
6/12/2020,7654022
6/13/2020,7787673
6/14/2020,7919766
6/15/2020,8044516
6/16/2020,8189064
6/17/2020,8332172
6/18/2020,8475056
6/19/2020,8656373
6/20/2020,8842041
6/21/2020,8935068
6/22/2020,9076878
6/23/2020,9245080
6/24/2020,9416368
6/25/2020,9595545
6/26/2020,9788642
6/27/2020,9965142
6/28/2020,10132880
6/29/2020,10285955
6/30/2020,10469228
7/1/2020,10684574
7/2/2020,10888823
7/3/2020,11091783
7/4/2020,11281422
7/5/2020,11467403
7/6/2020,11635370
7/7/2020,11844223
7/8/2020,12059981
7/9/2020,12283806
7/10/2020,12516760
7/11/2020,12729884
7/12/2020,12921403
7/13/2020,13117296
7/14/2020,13337806
7/15/2020,13567368
7/16/2020,13811828
7/17/2020,14049455
7/18/2020,14284879
7/19/2020,14496929
7/20/2020,14705711
7/21/2020,14947849
7/22/2020,15223705
7/23/2020,15503502
7/24/2020,15787462
7/25/2020,16035822
7/26/2020,16248877
7/27/2020,16483561
7/28/2020,16748019
7/29/2020,17018994
7/30/2020,17299230
7/31/2020,17588289
8/1/2020,17834472
8/2/2020,18065575
8/3/2020,18270890
8/4/2020,18536486
8/5/2020,18812320
8/6/2020,19098606
8/7/2020,19381834
8/8/2020,19646453
8/9/2020,19879875
8/10/2020,20114527
8/11/2020,20378745
8/12/2020,20654542
8/13/2020,20944366
8/14/2020,21252186
8/15/2020,21500101
8/16/2020,21710625
8/17/2020,21924554
8/18/2020,22183408
8/19/2020,22461393
8/20/2020,22731761
8/21/2020,22994821
8/22/2020,23256490
8/23/2020,23459925
8/24/2020,23688837
8/25/2020,23933471
8/26/2020,24215392
8/27/2020,24502286
8/28/2020,24786724
8/29/2020,25046982
8/30/2020,25265591
8/31/2020,25531189
9/1/2020,25797532
9/2/2020,26079713
9/3/2020,26365193
9/4/2020,26666496
9/5/2020,26938998
9/6/2020,27168660
9/7/2020,27387079
9/8/2020,27632813
9/9/2020,27918056
9/10/2020,28221391
9/11/2020,28537947
9/12/2020,28826141
9/13/2020,29073863
9/14/2020,29342009
9/15/2020,29621926
9/16/2020,29927000
9/17/2020,30241238
9/18/2020,30569060
9/19/2020,30860525
9/20/2020,31115794
9/21/2020,31376268
9/22/2020,31659717
9/23/2020,31971479
9/24/2020,32291802
9/25/2020,32622282
9/26/2020,32905840
9/27/2020,33153507
9/28/2020,33416976
9/29/2020,33698696
9/30/2020,34023684
10/1/2020,34342250
10/2/2020,34671398
10/3/2020,34967942
10/4/2020,35226496
10/5/2020,35539170
10/6/2020,35853960
10/7/2020,36203105
10/8/2020,36562787
10/9/2020,36922554
10/10/2020,37276514
10/11/2020,37563761
10/12/2020,37858351
10/13/2020,38177321
10/14/2020,38558189
10/15/2020,38966600
10/16/2020,39376005
10/17/2020,39745341
10/18/2020,40074843
10/19/2020,40453154
10/20/2020,40842741
10/21/2020,41285875
10/22/2020,41760426
10/23/2020,42258094
10/24/2020,42708325
10/25/2020,43066639
10/26/2020,43553637
10/27/2020,44024150
10/28/2020,44542593
10/29/2020,45094091
10/30/2020,45667976
10/31/2020,46138560
11/1/2020,46573400
11/2/2020,47133877
11/3/2020,47688279
11/4/2020,48195377
11/5/2020,48815784
11/6/2020,49435958
11/7/2020,50029638
11/8/2020,50516685
11/9/2020,51020605
11/10/2020,51598297
11/11/2020,52224751
11/12/2020,52868838
11/13/2020,53528503
11/14/2020,54109207
11/15/2020,54585286
11/16/2020,55115528
11/17/2020,55725888
11/18/2020,56352995
11/19/2020,57007486
11/20/2020,57680108
11/21/2020,58267771
11/22/2020,58754583
11/23/2020,59290482
11/24/2020,59882214
11/25/2020,60513417
11/26/2020,61104192
11/27/2020,61796873
11/28/2020,62398032
11/29/2020,62881397
11/30/2020,63389491
12/1/2020,64012334
12/2/2020,64658414
12/3/2020,65350341
12/4/2020,66038302
12/5/2020,66686714
12/6/2020,67222958
12/7/2020,67751632
12/8/2020,68394260
12/9/2020,69066777
12/10/2020,70569697
12/11/2020,71276552
12/12/2020,71917135
12/13/2020,72452477
12/14/2020,72997555
12/15/2020,73656563
12/16/2020,74380025
12/17/2020,75122162
12/18/2020,75845561
12/19/2020,76464214
12/20/2020,77003745
12/21/2020,77557768
12/22/2020,78222733
12/23/2020,78914582
12/24/2020,79603177
12/25/2020,80093670
12/26/2020,80609555
12/27/2020,81022842
12/28/2020,81523592
12/29/2020,82194769
12/30/2020,82931339
12/31/2020,83760418
1/1/2021,84333017
1/2/2021,84924171
1/3/2021,85445583
1/4/2021,86004718
1/5/2021,86748747
1/6/2021,87542560
1/7/2021,88434854
1/8/2021,89260402
1/9/2021,90015895
1/10/2021,90605567
1/11/2021,91219685
1/12/2021,91923174
1/13/2021,92672993
1/14/2021,93430009
1/15/2021,94204117
1/16/2021,94855909
1/17/2021,95385340
1/18/2021,95905391
1/19/2021,96495304
1/20/2021,97196135
1/21/2021,97852467
1/22/2021,98517058
1/23/2021,99091038
1/24/2021,99553665
